,geometry,TOT_P_2018,distance,weighted_distance,avg_bycicle,population_normal,distance_normal,avg_bycicle_normal,weighted_distance_normal
95,POINT (4.798869672452041 52.49152767008321),5656.0,0.00012888058936414733,0.7289486134436173,2719.8,0.1946652899673034,0.0007391341787509752,0.04647467115043522,0.006686950858909928
96,POINT (4.815018319580566 52.47146162200277),4417.0,0.011157620230193292,49.28320855676377,2719.8,0.15202202718981242,0.06398929820500474,0.04647467115043522,0.4520955081204485
97,POINT (4.81935233668326 52.451665868920905),5645.0,0.00036957115337445557,2.0862291607988017,2719.8,0.19428669764240233,0.0021195020311993444,0.04647467115043522,0.019137853644831063
98,POINT (4.819016863606615 52.45182091940382),5645.0,0.00036957115337445557,2.0862291607988017,2719.8,0.19428669764240233,0.0021195020311993444,0.04647467115043522,0.019137853644831063
99,POINT (4.812545048405531 52.45779377302951),6104.0,0.008806779912706193,53.7565845871586,2719.8,0.21008432283600068,0.050507156045249225,0.04647467115043522,0.49313165955417304
100,POINT (4.812545048405531 52.45779377302951),6104.0,0.008806779912706193,53.7565845871586,2719.8,0.21008432283600068,0.050507156045249225,0.04647467115043522,0.49313165955417304
101,POINT (4.512978398084745 51.832247199352736),2.0,0.006275216565460655,0.01255043313092131,2719.8,6.883496816382722e-05,0.03598856170257833,0.04647467115043522,0.0001151303782691086
102,POINT (3.5143208415799623 51.205788322057536),1038.0,0.005412221773087113,5.617886200464423,6758.2,0.03572534847702633,0.031039259792380577,0.11548096277993651,0.1280554968777528
103,POINT (3.5143208415799623 51.205788322057536),1038.0,0.005412221773087113,5.617886200464423,6758.2,0.03572534847702633,0.031039259792380577,0.11548096277993651,0.1280554968777528
104,POINT (3.517364621531427 51.20131310718804),1038.0,0.005412221773087113,5.617886200464423,6758.2,0.03572534847702633,0.031039259792380577,0.11548096277993651,0.1280554968777528
105,POINT (3.517364621531427 51.20131310718804),1038.0,0.005412221773087113,5.617886200464423,6758.2,0.03572534847702633,0.031039259792380577,0.11548096277993651,0.1280554968777528
